job,1,2,3,4,5
.net developer,93337.45833,97711.04166625,102358.666665,106641.125,112095.583325
analytics consultant,91485.0,91485.0,91485.0,91485.0,91485.0
application developer,86336.16667,93369.166665,98349.0,103470.66665,113330.1667
business intelligence developer,88636.41666625,100894.9583,104795.16665,108523.62498749999,122751.3333
chief operating officer,158730.7083625,182548.0000125,190328.5,199408.2917,231927.5833
chief technology officer,155426.5,176894.6667,187091.3333,202666.916675,263611.249975
cloud engineer,114100.0,118536.3333,126111.6667,126754.0,133149.0
cyber security engineer,97659.33333,113240.33335,126276.3333,134573.83335,156250.16665
data analyst,81060.91667,90475.54166875,95316.833335,98127.91666875,111816.16663749999
data engineer,96188.0,104087.0,110746.6667,116435.6667,131535.6667
data scientist,106910.4166625,120663.041675,129900.1667,139166.9999875,169491.9583625
director of engineering,126603.66665,154462.83335,162663.3333,171174.5,192280.0
director of information technology,128750.999975,140616.5,144307.0,150081.8749875,176826.00002500002
engineer manager,102389.000025,127096.08335,136083.3333,146307.58335,168810.66665
frontend developer,77881.166665,87241.3333325,91713.66667,95660.7499975,106301.083325
frontend software engineer,84037.08333,92369.66667,94029.33333,96187.166665,115379.749975
information technology manager,107540.6667,126556.083325,136852.3333,143625.1667,156360.3333
ios developer,89118.9166675,101937.875,109877.33335,114572.66663749999,123439.4583
it developer,92318.20833,102922.5833,111534.5,117337.8333375,129515.0833
it support engineer,70420.5,79129.58333,81569.0,88253.41667,97810.5000025
java developer,88722.08333,93756.70833125,96493.166665,99368.70833,107621.125025
junior data scientist,83273.95833375,86411.87500125001,87980.833335,89549.79166875,92687.70833625001
junior director of engineering,106111.41663749999,107421.5833125,108076.66665,108731.74998749999,110041.9166625
junior engineer manager,75170.33333,84374.33333,88976.33333,94514.9999975,105592.3333325
junior senior engineer,89018.4999975,90976.8333325,91956.0,92912.5,94825.5
junior software engineer,76379.0,85385.33333,89388.66667,92530.0,105168.0
machine learning engineer,88398.45833375,113673.5833,119135.5,128037.25,142752.87497499998
mobile developer,90683.66667,101090.3333,103852.3333,106271.0,116495.0
principal cloud engineer,80329.2916675,85551.2499975,89110.83333,94293.79166625,117070.5417
principal data scientist,102521.6667,136085.0,136868.6667,152455.3333,162542.3333
principal engineer manager,146579.50002500002,155368.8333,159510.3333,164583.5833,176152.16665
principal senior engineer,134866.416675,143896.083325,146407.0,152244.666675,158331.833325
principal software architect,149394.5417,165093.8333375,167339.33335,169011.8333,182549.7917
principal software engineer,130703.66665,146485.5,151803.0,157337.0,169032.0
principal technical lead,129854.6667,129854.6667,129854.6667,129854.6667,129854.6667
sas programmer,86637.37500125001,89097.83333625001,92782.16667,97189.70833625001,106566.62498749999
senior .net developer,111186.3333,116342.33335,117713.6667,119538.16665,130415.66665
senior application developer,100900.3333,109925.6667,110577.0,117290.3333,128536.0
senior business intelligence developer,98658.8333075,104887.66665,106259.6667,106344.91665,111228.16665
senior data analyst,86626.0000025,93326.0833325,94810.0,95512.5833325,106635.666675
senior data scientist,121813.33335,133591.83335,136095.6667,139454.916675,154719.75002500002
senior director of engineering,161776.6667,161776.6667,161776.6667,161776.6667,161776.6667
senior engineer,130936.749975,160979.6667,171752.5,181999.1667,204898.62497499998
senior engineering manager,123219.791675,138308.62497499998,148324.83335,155102.8333625,177009.4999875
senior information technology manager,155311.3333,155311.3333,155311.3333,155311.3333,155311.3333
senior java developer,108315.8333,115347.33335,118529.3333,120605.83335,127769.0
senior member of technical,140735.6667,140735.6667,140735.6667,140735.6667,140735.6667
senior security engineer,100186.58331875,111249.7916625,116459.8333,117380.625025,128336.7083125
senior software architect,148377.6667,152822.6667,156359.0,156584.6667,159363.6667
senior software developer,113738.0,113738.0,113738.0,113738.0,113738.0
senior software engineer,122437.6666625,132461.0417,136636.6667,140668.583325,157996.2916625
senior software manager,128854.16665,139235.66665,146003.3333,147921.8333,152007.3333
senior system engineer,84896.5,95397.16667,99221.66667,104534.0,118468.0
senior systems engineer,97987.0,106293.749975,110269.3333,112902.5,126868.3333
senior web developer,100881.999975,108589.749975,110991.3333,115358.8333,136559.416675
site reliability engineer,96020.1666675,111550.0,118961.66665,124836.79163749999,136916.4583
software architect,118199.29163749999,135864.9583,140159.0,145515.1667,165251.2083375
software developer,91995.7916675,105431.8333375,107384.5,112638.9167,127556.8333
software engineer,100182.250025,120332.166675,124980.3333,130451.999975,150244.00002500002
software engineer in test,84001.166665,98010.41667,115879.0,117752.4167,130284.583325
software engineer intern,112174.374975,115936.458325,117817.5,119698.541675,123460.625025
software engineering manager,124283.9583,141487.7083,146299.1667,151596.25,164197.7916375
software manager,99503.4166625,114177.3333125,118088.83335,122532.2083125,138213.3333
software quality assurance engineer,81430.8333325,94198.125,99572.5,105285.6666625,118585.5
software test engineer,89322.25000125001,96728.54167375,106241.166685,115753.79169625,141537.1667
solutions architect,109661.625025,119663.0417,124502.66665,130559.8333,140673.8333625
technical lead,92940.66667,109946.3333,116924.3333,125192.6667,142345.3333
web developer,73794.91666625,82614.70833,85948.333335,88739.04166875,100974.125025
