locationjob,location,job,gd_salary,indeed_salary,ps_salary,city,state,vote,v_gd_salary,v_indeed_salary,v_ps_salary,avg_salary,remove_or_not,Region
houston texaschief technology officer,houston texas,chief technology officer,400038,160345,275000,HOUSTON ,Texas,38,15201444,6093110,10450000,278461,no,South
chicago illinoischief technology officer,chicago illinois,chief technology officer,395214,250427,205569,CHICAGO ,Illinois,20,7904280,5008540,4111380,283736.6667,no,Midwest
new york new yorkchief technology officer,new york new york,chief technology officer,393251,300000,226000,New York,New York,29,11404279,8700000,6554000,306417,no,North East
philadelphia pennsylvaniachief technology officer,philadelphia pennsylvania,chief technology officer,388521,321701,226412,PHILADELPHIA ,Pennsylvania,20,7770420,6434020,4528240,312211.3333,no,North East
kansas city missourichief technology officer,kansas city missouri,chief technology officer,376881,200061,190000,KANSAS CITY ,Missouri,10,3768810,2000610,1900000,255647.3333,no,Midwest
phoenix arizonachief technology officer,phoenix arizona,chief technology officer,374078,230016,214318,PHOENIX ,Arizona,11,4114858,2530176,2357498,272804,no,West
orlando floridachief technology officer,orlando florida,chief technology officer,368964,264576,160000,ORLANDO ,Florida,29,10699956,7672704,4640000,264513.3333,no,South
seattle washingtonchief technology officer,seattle washington,chief technology officer,346570,284161,199843,SEATTLE ,Washington,12,4158840,3409932,2398116,276858,no,West
washington district of columbiachief technology officer,washington district of columbia,chief technology officer,334632,210004,183087, DISTRICT OF COLUMBIA,Washington,12,4015584,2520048,2197044,242574.3333,no,West
columbus ohiochief technology officer,columbus ohio,chief technology officer,324413,224677,187500,COLUMBUS ,Ohio,18,5839434,4044186,3375000,245530,no,Midwest
nashville tennesseechief technology officer,nashville tennessee,chief technology officer,315407,185691,203000,NASHVILLE ,Tennessee,11,3469477,2042601,2233000,234699.3333,no,South
dallas texaschief technology officer,dallas texas,chief technology officer,314449,186766,281500,DALLAS ,Texas,38,11949062,7097108,10697000,260905,no,South
atlanta georgiachief technology officer,atlanta georgia,chief technology officer,313869,195200,208382,ATLANTA ,Georgia,16,5021904,3123200,3334112,239150.3333,no,South
cincinnati ohiochief technology officer,cincinnati ohio,chief technology officer,310615,214606,149664,CINCINNATI ,Ohio,18,5591070,3862908,2693952,224961.6667,no,Midwest
charlotte north carolinachief technology officer,charlotte north carolina,chief technology officer,310395,183637,178656,CHARLOTTE ,North Carolina,15,4655925,2754555,2679840,224229.3333,no,South
boston massachusettschief technology officer,boston massachusetts,chief technology officer,310310,338152,225000,BOSTON ,Massachusetts,11,3413410,3719672,2475000,291154,no,North East
los angeles californiachief technology officer,los angeles california,chief technology officer,310286,192600,227500,LOS ANGELES ,California,55,17065730,10593000,12512500,243462,no,West
madison wisconsinchief technology officer,madison wisconsin,chief technology officer,307741,137593,187660,MADISON ,Wisconsin,10,3077410,1375930,1876600,210998,no,Midwest
austin texaschief technology officer,austin texas,chief technology officer,307622,288780,217500,AUSTIN ,Texas,38,11689636,10973640,8265000,271300.6667,no,South
san jose californiachief technology officer,san jose california,chief technology officer,307209,304101,243722,SAN JOSE ,California,55,16896495,16725555,13404710,285010.6667,no,West
portland oregonchief technology officer,portland oregon,chief technology officer,298386,314313,203894,PORTLAND ,Oregon,7,2088702,2200191,1427258,272197.6667,no,West
denver coloradochief technology officer,denver colorado,chief technology officer,296218,311222,206879,DENVER ,Colorado,9,2665962,2800998,1861911,271439.6667,no,West
san francisco californiachief technology officer,san francisco california,chief technology officer,290274,250515,219669,SAN FRANCISCO ,California,55,15965070,13778325,12081795,253486,no,West
san diego californiachief technology officer,san diego california,chief technology officer,284717,236510,209882,SAN DIEGO ,California,55,15659435,13008050,11543510,243703,no,West
tampa floridachief technology officer,tampa florida,chief technology officer,281468,219263,185000,TAMPA ,Florida,29,8162572,6358627,5365000,228577,no,South
milwaukee wisconsinchief technology officer,milwaukee wisconsin,chief technology officer,266129,169862,110000,MILWAUKEE ,Wisconsin,10,2661290,1698620,1100000,181997,no,Midwest
jacksonville floridachief technology officer,jacksonville florida,chief technology officer,265494,147218,161809,JACKSONVILLE ,Florida,29,7699326,4269322,4692461,191507,no,South
seattle washingtonsenior engineer,seattle washington,senior engineer,250692,226320,181854,SEATTLE ,Washington,12,3008304,2715840,2182248,219622,no,West
louisville kentuckysenior engineer,louisville kentucky,senior engineer,247017,127280,127743,LOUISVILLE ,Kentucky,8,1976136,1018240,1021944,167346.6667,no,South
atlanta georgiasenior engineer,atlanta georgia,senior engineer,246238,198871,178890,ATLANTA ,Georgia,16,3939808,3181936,2862240,207999.6667,no,South
philadelphia pennsylvaniasenior engineer,philadelphia pennsylvania,senior engineer,245919,173241,195500,PHILADELPHIA ,Pennsylvania,20,4918380,3464820,3910000,204886.6667,no,North East
houston texassenior engineer,houston texas,senior engineer,243520,195744,215000,HOUSTON ,Texas,38,9253760,7438272,8170000,218088,no,South
new york new yorksenior engineer,new york new york,senior engineer,242633,233507,222955,New York,New York,29,7036357,6771703,6465695,233031.6667,no,North East
palo alto californiasenior engineer,palo alto california,senior engineer,242266,251077,202940,PALO ALTO ,California,55,13324630,13809235,11161700,232094.3333,no,West
ann arbor michigansenior engineer,ann arbor michigan,senior engineer,241953,157483,190510,ANN ARBOR ,Michigan,16,3871248,2519728,3048160,196648.6667,no,Midwest
los angeles californiachief operating officer,los angeles california,chief operating officer,241089,229570,220833,LOS ANGELES ,California,55,13259895,12626350,12145815,230497.3333,no,West
columbus ohiosenior engineer,columbus ohio,senior engineer,240195,144641,193304,COLUMBUS ,Ohio,18,4323510,2603538,3479472,192713.3333,no,Midwest
sunnyvale californiasenior engineer,sunnyvale california,senior engineer,240046,201549,165646,SUNNYVALE ,California,55,13202530,11085195,9110530,202413.6667,no,West
dallas texassenior engineer,dallas texas,senior engineer,240044,186961,184689,DALLAS ,Texas,38,9121672,7104518,7018182,203898,no,South
chicago illinoissenior engineer,chicago illinois,senior engineer,239617,193672,190000,CHICAGO ,Illinois,20,4792340,3873440,3800000,207763,no,Midwest
minneapolis minnesotasenior engineer,minneapolis minnesota,senior engineer,239489,196100,237500,MINNEAPOLIS ,Minnesota,10,2394890,1961000,2375000,224363,no,Midwest
redwood city californiasenior engineer,redwood city california,senior engineer,238995,210020,235000,REDWOOD CITY ,California,55,13144725,11551100,12925000,228005,no,West
detroit michiganchief operating officer,detroit michigan,chief operating officer,238883,175817,193000,DETROIT ,Michigan,16,3822128,2813072,3088000,202566.6667,no,Midwest
san mateo californiasenior engineer,san mateo california,senior engineer,238773,232155,178800,SAN MATEO ,California,55,13132515,12768525,9834000,216576,no,West
pittsburgh pennsylvaniasenior engineer,pittsburgh pennsylvania,senior engineer,238163,223624,153631,PITTSBURGH ,Pennsylvania,20,4763260,4472480,3072620,205139.3333,no,North East
denver coloradochief operating officer,denver colorado,chief operating officer,238130,181505,217000,DENVER ,Colorado,9,2143170,1633545,1953000,212211.6667,no,West
nashville tennesseesenior engineer,nashville tennessee,senior engineer,238114,156925,167500,NASHVILLE ,Tennessee,11,2619254,1726175,1842500,187513,no,South
san francisco californiasenior engineer,san francisco california,senior engineer,236678,215092,205514,SAN FRANCISCO ,California,55,13017290,11830060,11303270,219094.6667,no,West
palo alto californiachief technology officer,palo alto california,chief technology officer,236525,117017,203473,PALO ALTO ,California,55,13008875,6435935,11191015,185671.6667,no,West
boise idahosenior engineer,boise idaho,senior engineer,236315,115146,165000,BOISE ,Idaho,4,945260,460584,660000,172153.6667,no,West
tucson arizonasenior engineer,tucson arizona,senior engineer,235623,161456,119219,TUCSON ,Arizona,11,2591853,1776016,1311409,172099.3333,no,West
redwood city californiachief technology officer,redwood city california,chief technology officer,234537,204197,225421,REDWOOD CITY ,California,55,12899535,11230835,12398155,221385,no,West
las vegas nevadasenior engineer,las vegas nevada,senior engineer,234336,183334,156349,LAS VEGAS ,Nevada,6,1406016,1100004,938094,191339.6667,no,West
columbia south carolinasenior engineer,columbia south carolina,senior engineer,233463,151395,101736,COLUMBIA ,South Carolina,9,2101167,1362555,915624,162198,no,South
santa clara californiasenior engineer,santa clara california,senior engineer,232944,186787,167388,SANTA CLARA ,California,55,12811920,10273285,9206340,195706.3333,no,West
los angeles californiasenior engineer,los angeles california,senior engineer,232937,190000,252000,LOS ANGELES ,California,55,12811535,10450000,13860000,224979,no,West
reno nevadasenior engineer,reno nevada,senior engineer,231944,132319,121847,RENO ,Nevada,6,1391664,793914,731082,162036.6667,no,West
tampa floridasenior engineer,tampa florida,senior engineer,231896,172519,175000,TAMPA ,Florida,29,6724984,5003051,5075000,193138.3333,no,South
provo utahsenior engineer,provo utah,senior engineer,231869,98904,160000,PROVO ,Utah,6,1391214,593424,960000,163591,no,West
