Words
swe|soft eng
software development engineer|soft eng
sdet|soft eng testing
sde|soft eng
staff software engineer|soft eng
software development manager|soft eng manager
senior|seniority 
seniority associate|seniority
associate|junior
sr. software|seniority soft
sr.software|seniority soft
sr software|seniority soft
sr.|seniority 
sr|seniority 
front end|frontend
back end|backend
front-end|frontend
back-end|backend
jde|data eng
software engineer intern|soft eng intern
software development engineer in test|testing soft dev
software engineer iii|soft eng 3
software engineer ii|soft eng 2
software engineer i|soft eng
software dev engineer iii|soft dev 3
software dev engineer ii|soft dev 2
software development engineer iii|soft dev 3
software development engineer ii|soft dev 2
 iv|4
 iii|3
 ii|2
qa|quality assurance
python|soft
vp|vice president
software engineer 1|soft eng
it manager|soft manager
data analyst engineer|data analyst
full stack|fullstack
full-stack|fullstack
backend systems engineer|backend dev
android|mobile
fw|firmware
lead|principal
software|soft
engineering|enig
engineer|eng
developer|dev
dotnet|.net
test|testing
development|deev
head of|principal
administrat4e|administrative
cloud|cloudcloud
aws|cloudcloud
devops|development operations
dev ops|development operations
