locationjob,date,location,job,salary,two_date
fort lauderdale floridasenior engineer,,fort lauderdale florida,senior engineer,"804,865",
manitobaengineer manager,,manitoba,engineer manager,"800,000",
new york new yorkoptometrist,8-Jun-23,new york new york,optometrist,"730,463",With two date
bellevue washingtonsenior engineer,,bellevue washington,senior engineer,"646,939",
philadelphia pennsylvaniaoptometrist,12-Jun-23,philadelphia pennsylvania,optometrist,"646,387",
british columbiaophthalmologist,21-Feb-23,british columbia,ophthalmologist,"600,000",
sacramento californiacardiology physician,,sacramento california,cardiology physician,"599,808",
grand rapids michiganoptometrist,9-Aug-22,grand rapids michigan,optometrist,"580,587",
alabamaanesthesiologist,7-Dec-22,alabama,anesthesiologist,"572,013",
santa clara californiaoptometrist,,santa clara california,optometrist,"569,932",
bronx new yorkanesthesiologist,,bronx new york,anesthesiologist,"569,625",
seattle washingtonurgent care physician,27-May-23,seattle washington,urgent care physician,"563,947",
iowaanesthesiologist,24-Oct-22,iowa,anesthesiologist,"556,861",With two date
louisville kentuckyanesthesiologist,26-Jan-23,louisville kentucky,anesthesiologist,"556,861",With two date
new hampshireanesthesiologist,7-Dec-22,new hampshire,anesthesiologist,"556,861",
sacramento californiaanesthesiologist,14-May-23,sacramento california,anesthesiologist,"556,429",
idahoanesthesiologist,8-Dec-22,idaho,anesthesiologist,"555,497",
michiganoptometrist,11-Jun-23,michigan,optometrist,"554,205",
irving texassenior engineer,23-May-22,irving texas,senior engineer,"545,721",
chicago illinoisoptometrist,,chicago illinois,optometrist,"537,180",
california city californiaoptometrist,10-Mar-21,california city california,optometrist,"529,540",With two date
coloradoanesthesiologist,25-May-23,colorado,anesthesiologist,"528,686",
tennesseeneurosurgeon,23-Apr-22,tennessee,neurosurgeon,"524,073",
north dakotapediatric hospitalist,,north dakota,pediatric hospitalist,"522,170",
utahpediatric hospitalist,31-Jul-21,utah,pediatric hospitalist,"522,170",
huntsville alabamaphysician,13-Sep-22,huntsville alabama,physician,"521,668",With two date
fort worth texasanesthesiologist,16-Sep-22,fort worth texas,anesthesiologist,"520,723",
oklahomaanesthesiologist,6-Jun-23,oklahoma,anesthesiologist,"516,655",
san diego californiaoptometrist,11-Jun-23,san diego california,optometrist,"515,744",
canadaophthalmologist,14-Jun-23,canada,ophthalmologist,"513,165",With two date
saskatchewanobstetrics and gynecology physician,6-Jun-23,saskatchewan,obstetrics and gynecology physician,"503,023",
memphis tennesseegastroenterologist,10-May-23,memphis tennessee,gastroenterologist,"500,000",With two date
prince edward islandengineer manager,,prince edward island,engineer manager,"500,000",
tennesseeanesthesiologist,3-Jun-23,tennessee,anesthesiologist,"498,991",
denver coloradoanesthesiologist,25-Apr-23,denver colorado,anesthesiologist,"498,911",
british columbiasurgeon,8-Jun-23,british columbia,surgeon,"494,804",
indianaoptometrist,16-Apr-23,indiana,optometrist,"494,420",
new mexicoanesthesiologist,24-Apr-23,new mexico,anesthesiologist,"494,418",
salt lake city utahplastic surgeon,2-Mar-23,salt lake city utah,plastic surgeon,"493,464",
kentuckyoncologist,5-Feb-23,kentucky,oncologist,"491,093",With two date
saskatchewanophthalmologist,23-Apr-23,saskatchewan,ophthalmologist,"490,290",
new brunswickradiologist,,new brunswick,radiologist,"490,290",
indianaanesthesiologist,22-May-23,indiana,anesthesiologist,"484,621",
arkansasoptometrist,10-Jun-23,arkansas,optometrist,"483,390",
washingtonanesthesiologist,12-Jun-23,washington,anesthesiologist,"481,288",
tallahassee floridaanesthesiologist,12-Mar-22,tallahassee florida,anesthesiologist,"480,158",
maineoncologist,13-May-22,maine,oncologist,"478,143",
fort wayne indianaoptometrist,5-May-23,fort wayne indiana,optometrist,"477,721",With two date
san antonio texasoptometrist,28-Apr-23,san antonio texas,optometrist,"475,005",
baton rouge louisianaoptometrist,3-May-23,baton rouge louisiana,optometrist,"474,433",With two date
tucson arizonadermatologist,7-Feb-22,tucson arizona,dermatologist,"474,343",
boston massachusettshospitalist,30-Mar-23,boston massachusetts,hospitalist,"470,243",
tucson arizonavascular surgeon,20-Jun-20,tucson arizona,vascular surgeon,"467,156",
vancouver washingtonplastic surgeon,,vancouver washington,plastic surgeon,"466,625",
atlanta georgiachief operating officer,16-Sep-21,atlanta georgia,chief operating officer,"466,577",With two date
georgianeurosurgeon,1-Dec-20,georgia,neurosurgeon,"465,000",
san antonio texasanesthesiologist,2-May-23,san antonio texas,anesthesiologist,"464,055",With two date
washington district of columbiaanesthesiologist,2-Jun-23,washington district of columbia,anesthesiologist,"461,994",With two date
virginiaanesthesiologist,4-Feb-23,virginia,anesthesiologist,"461,982",
phoenix arizonaurgent care physician,25-Apr-23,phoenix arizona,urgent care physician,"459,254",
austin texassenior web developer,,austin texas,senior web developer,"458,868",
marylandanesthesiologist,13-Jun-23,maryland,anesthesiologist,"455,086",With two date
los angeles californiaendocrinologist,8-Jun-23,los angeles california,endocrinologist,"454,751",With two date
michigananesthesiologist,6-Jun-23,michigan,anesthesiologist,"451,605",With two date
saskatchewananesthesiologist,23-Apr-23,saskatchewan,anesthesiologist,"450,762",
buffalo new yorkdermatologist,10-Mar-23,buffalo new york,dermatologist,"450,329",With two date
cleveland ohiooncologist,3-Apr-23,cleveland ohio,oncologist,"450,000",With two date
puerto ricogastroenterologist,,puerto rico,gastroenterologist,"450,000",
new hampshireoptometrist,11-May-23,new hampshire,optometrist,"448,862",With two date
utahoptometrist,10-Jun-23,utah,optometrist,"448,284",With two date
minnesotadermatologist,8-Sep-22,minnesota,dermatologist,"447,248",
des moines iowasurgeon,30-May-23,des moines iowa,surgeon,"447,248",
toronto ontarioorthopedist,6-Jun-23,toronto ontario,orthopedist,"447,248",With two date
spokane washingtonoptometrist,5-Jun-23,spokane washington,optometrist,"446,064",
phoenix arizonaoptometrist,12-Jun-23,phoenix arizona,optometrist,"445,813",With two date
cambridge massachusettsengineer manager,,cambridge massachusetts,engineer manager,"445,203",
denver coloradooncologist,25-Dec-20,denver colorado,oncologist,"445,060",
michiganoncologist,27-May-23,michigan,oncologist,"443,050",
north dakotahospitalist,24-May-23,north dakota,hospitalist,"442,640",
greenville north carolinaclinical psychologist,,greenville north carolina,clinical psychologist,"442,440",
dayton ohiohospitalist,18-Oct-22,dayton ohio,hospitalist,"442,225",With two date
new hampshirehospitalist,16-Jul-22,new hampshire,hospitalist,"441,919",
californiaanesthesiologist,15-Jun-23,california,anesthesiologist,"439,729",
british columbiacardiology physician,16-May-23,british columbia,cardiology physician,"437,450",
wisconsinneurologist,21-Apr-23,wisconsin,neurologist,"437,197",
ann arbor michiganradiologist,,ann arbor michigan,radiologist,"436,958",
saskatchewanpediatrician,11-Jun-23,saskatchewan,pediatrician,"436,123",
montanaanesthesiologist,,montana,anesthesiologist,"435,123",
plano texasanesthesiologist,2-Jul-19,plano texas,anesthesiologist,"434,496",
el paso texasanesthesiologist,,el paso texas,anesthesiologist,"431,812",
edmonton absurgeon,13-Apr-23,edmonton ab,surgeon,"431,381",
arizonaplastic surgeon,18-May-23,arizona,plastic surgeon,"430,792",
bellevue washingtonfamily medicine physician,9-Jun-23,bellevue washington,family medicine physician,"429,070",
canadaorthodontist,10-Jun-23,canada,orthodontist,"428,840",
knoxville tennesseehospitalist,9-Dec-22,knoxville tennessee,hospitalist,"428,032",
british columbiaorthodontist,10-Jun-23,british columbia,orthodontist,"426,529",
albertaorthodontist,17-May-23,alberta,orthodontist,"426,529",
philadelphia pennsylvanianocturnist,27-Jul-22,philadelphia pennsylvania,nocturnist,"426,050",
arkansasoncologist,11-May-22,arkansas,oncologist,"424,449",
arizonamanagement consultant,14-Apr-23,arizona,management consultant,"423,719",
georgiaoptometrist,13-Jun-23,georgia,optometrist,"423,681",
west virginiaoncologist,3-Jul-22,west virginia,oncologist,"422,811",
jersey city new jerseypsychiatrist,2-Mar-22,jersey city new jersey,psychiatrist,"422,280",
orlando floridaoptometrist,18-Apr-23,orlando florida,optometrist,"421,859",With two date
atlanta georgiacardiology physician,4-Feb-23,atlanta georgia,cardiology physician,"421,098",With two date
edmonton aborthodontist,17-May-23,edmonton ab,orthodontist,"419,787",
salt lake city utahanesthesiologist,1-Apr-20,salt lake city utah,anesthesiologist,"417,791",
rhode islandoptometrist,,rhode island,optometrist,"416,156",
puerto ricoophthalmologist,27-Nov-22,puerto rico,ophthalmologist,"415,128",
mainesurgeon,30-Dec-22,maine,surgeon,"415,070",
new york new yorknocturnist,,new york new york,nocturnist,"414,970",
lincoln nebraskaoptometrist,10-Jun-23,lincoln nebraska,optometrist,"414,243",
kansas city missourisurgeon,24-Nov-22,kansas city missouri,surgeon,"413,359",With two date
new york new yorkanesthesiologist,13-Jun-23,new york new york,anesthesiologist,"411,348",With two date
illinoisanesthesiologist,9-May-23,illinois,anesthesiologist,"410,962",
san francisco californiafamily medicine physician,26-Apr-23,san francisco california,family medicine physician,"410,346",With two date
louisianaoptometrist,22-May-23,louisiana,optometrist,"409,362",With two date
bellevue washingtonoptometrist,26-May-23,bellevue washington,optometrist,"408,671",With two date
los angeles californiatax partner,27-May-23,los angeles california,tax partner,"408,351",With two date
minnesotahospitalist,27-May-23,minnesota,hospitalist,"407,718",
queens new yorkanesthesiologist,20-Sep-22,queens new york,anesthesiologist,"407,431",
mainepsychiatrist,5-Jun-23,maine,psychiatrist,"406,278",
reno nevadaneurosurgeon,,reno nevada,neurosurgeon,"406,000",
west virginiaoptometrist,15-May-23,west virginia,optometrist,"405,560",
washington district of columbiamidwife,29-Mar-23,washington district of columbia,midwife,"404,380",
iowagastroenterologist,16-Feb-23,iowa,gastroenterologist,"404,378",With two date
manitobaanesthesiologist,4-Oct-22,manitoba,anesthesiologist,"404,348",With two date
connecticutanesthesiologist,9-Jun-23,connecticut,anesthesiologist,"404,115",With two date
chicago illinoisanesthesiologist,7-Jun-23,chicago illinois,anesthesiologist,"403,930",With two date
arizonarheumatologist,31-Jan-23,arizona,rheumatologist,"403,645",
south carolinaanesthesiologist,13-Jun-23,south carolina,anesthesiologist,"401,539",
boise idahochief technology officer,2-Aug-22,boise idaho,chief technology officer,"401,332",
ohiohospitalist,9-Jun-23,ohio,hospitalist,"400,650",
british columbiaemergency medicine physician,27-May-23,british columbia,emergency medicine physician,"400,247",
virginia beach virginiasurgeon,,virginia beach virginia,surgeon,"400,000",
british columbiaorthopedist,10-Mar-23,british columbia,orthopedist,"400,000",
british columbiagastroenterologist,,british columbia,gastroenterologist,"400,000",
portland oregonperiodontist,17-Mar-23,portland oregon,periodontist,"400,000",
ann arbor michigancardiology physician,,ann arbor michigan,cardiology physician,"399,938",
