locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
fort lauderdale floridasenior engineer,fort lauderdale florida,senior engineer,fort lauderdale florida,senior engineer,fort lauderdale florida,senior engineer,fort lauderdale florida,senior engineer,181379,192500,804865,,,,,,,392914.6667
bellevue washingtonsenior engineer,bellevue washington,senior engineer,bellevue washington,senior engineer,bellevue washington,senior engineer,bellevue washington,senior engineer,229132,214471,646939,,,,,,,363514
californiachief technology officer,california,chief technology officer,california,chief technology officer,,,california,chief technology officer,399282,,279738,,,26-May-23,,,With two date,339510
coloradochief technology officer,colorado,chief technology officer,colorado,chief technology officer,,,colorado,chief technology officer,391825,,275844,,,13-May-23,,,,333834.5
irving texassenior engineer,irving texas,senior engineer,irving texas,senior engineer,irving texas,senior engineer,irving texas,senior engineer,222279,185000,545721,,,23-May-22,,,,317666.6667
philadelphia pennsylvaniachief technology officer,philadelphia pennsylvania,chief technology officer,philadelphia pennsylvania,chief technology officer,philadelphia pennsylvania,chief technology officer,philadelphia pennsylvania,chief technology officer,388521,226412,321701,,,10-Feb-23,,,,312211.3333
new york new yorkchief technology officer,new york new york,chief technology officer,new york new york,chief technology officer,new york new york,chief technology officer,new york new york,chief technology officer,393251,226000,300000,,,,,,,306417
santa clara californiavice president of engineering,santa clara california,vice president of engineering,santa clara california,vice president of engineering,santa clara california,vice president of engineering,santa clara california,vice president of engineering,350224,294000,264373,,,31-May-23,,,,302865.6667
atlanta georgiachief operating officer,atlanta georgia,chief operating officer,atlanta georgia,chief operating officer,atlanta georgia,chief operating officer,atlanta georgia,chief operating officer,205285,230000,466577,,,16-Sep-21,,,With two date,300620.6667
atlanta georgiavice president of engineering,atlanta georgia,vice president of engineering,atlanta georgia,vice president of engineering,atlanta georgia,vice president of engineering,atlanta georgia,vice president of engineering,407810,202500,269462,,,,,,,293257.3333
boston massachusettschief technology officer,boston massachusetts,chief technology officer,boston massachusetts,chief technology officer,boston massachusetts,chief technology officer,boston massachusetts,chief technology officer,310310,225000,338152,,,27-May-23,,With two date,,291154
floridachief technology officer,florida,chief technology officer,florida,chief technology officer,,,florida,chief technology officer,261794,,313593,,,23-Apr-23,,,With two date,287693.5
san jose californiachief technology officer,san jose california,chief technology officer,san jose california,chief technology officer,san jose california,chief technology officer,san jose california,chief technology officer,307209,243722,304101,,,,,,,285010.6667
chicago illinoischief technology officer,chicago illinois,chief technology officer,chicago illinois,chief technology officer,chicago illinois,chief technology officer,chicago illinois,chief technology officer,395214,205569,250427,,,18-Mar-23,,,,283736.6667
palo alto californiasenior vice president of engineering,palo alto california,senior vice president of engineering,palo alto california,senior vice president of engineering,,,palo alto california,senior vice president of engineering,205268,,358760,,,,,,,282014
virginiachief technology officer,virginia,chief technology officer,virginia,chief technology officer,,,virginia,chief technology officer,279796,,281861,,,23-Apr-23,,,,280828.5
houston texaschief technology officer,houston texas,chief technology officer,houston texas,chief technology officer,houston texas,chief technology officer,houston texas,chief technology officer,400038,275000,160345,,,25-Apr-23,,,With two date,278461
st. louis missourichief operating officer,st. louis missouri,chief operating officer,st. louis missouri,chief operating officer,st. louis missouri,chief operating officer,,,212267,343922,,,,,,,,278094.5
new york new yorkvice president of engineering,new york new york,vice president of engineering,new york new york,vice president of engineering,new york new york,vice president of engineering,new york new york,vice president of engineering,337754,220688,273757,,27-Apr-19,8-Jun-23,,With two date,,277399.6667
seattle washingtonchief technology officer,seattle washington,chief technology officer,seattle washington,chief technology officer,seattle washington,chief technology officer,seattle washington,chief technology officer,346570,199843,284161,,,,,,,276858
phoenix arizonachief technology officer,phoenix arizona,chief technology officer,phoenix arizona,chief technology officer,phoenix arizona,chief technology officer,phoenix arizona,chief technology officer,374078,214318,230016,,,,,,,272804
portland oregonchief technology officer,portland oregon,chief technology officer,portland oregon,chief technology officer,portland oregon,chief technology officer,portland oregon,chief technology officer,298386,203894,314313,,,,,,,272197.6667
denver coloradochief technology officer,denver colorado,chief technology officer,denver colorado,chief technology officer,denver colorado,chief technology officer,denver colorado,chief technology officer,296218,206879,311222,,,21-Apr-23,,,,271439.6667
austin texaschief technology officer,austin texas,chief technology officer,austin texas,chief technology officer,austin texas,chief technology officer,austin texas,chief technology officer,307622,217500,288780,,,5-Jun-23,,,,271300.6667
wisconsinchief technology officer,wisconsin,chief technology officer,wisconsin,chief technology officer,,,wisconsin,chief technology officer,353426,,187485,,,12-Jun-23,,,,270455.5
los angeles californiavice president of engineering,los angeles california,vice president of engineering,los angeles california,vice president of engineering,los angeles california,vice president of engineering,los angeles california,vice president of engineering,329901,234547,246732,,,6-Mar-23,,,,270393.3333
new york new yorkchief operating officer,new york new york,chief operating officer,new york new york,chief operating officer,new york new york,chief operating officer,new york new york,chief operating officer,223052,348800,238221,,16-Nov-22,26-May-23,,With two date,With two date,270024.3333
boise idahochief technology officer,boise idaho,chief technology officer,boise idaho,chief technology officer,boise idaho,chief technology officer,boise idaho,chief technology officer,221557,185000,401332,,,2-Aug-22,,,,269296.3333
